index,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
2368,130,2.1867044610007724,295.0,524139.0,True,4000,0.5,1000
2369,131,2.2633896690022084,295.0,528140.0,True,4000,0.5,1000
2370,132,2.3399130090001563,295.0,532141.0,True,4000,0.5,1000
2371,133,2.4166257020006014,295.0,536142.0,True,4000,0.5,1000
2372,134,2.493118973001401,295.0,540143.0,True,4000,0.5,1000
2373,135,2.5694762359999004,295.0,544144.0,True,4000,0.5,1000
2374,136,2.6458312079994357,295.0,548145.0,True,4000,0.5,1000
2375,137,2.722427955002786,295.0,552146.0,True,4000,0.5,1000
2376,138,2.7989697140001226,295.0,556147.0,True,4000,0.5,1000
2377,139,2.8760311149999325,295.0,560148.0,True,4000,0.5,1000
2378,140,2.9528859929996543,295.0,564149.0,True,4000,0.5,1000
2379,141,3.0292759820003994,295.0,568150.0,True,4000,0.5,1000
2380,142,3.104877543002658,295.0,572151.0,True,4000,0.5,1000
2381,143,3.180999968000833,295.0,576152.0,True,4000,0.5,1000
2382,144,3.2568891619994247,295.0,580153.0,True,4000,0.5,1000
2383,145,3.332971596002608,295.0,584154.0,True,4000,0.5,1000
2384,146,3.40903554200122,295.0,588155.0,True,4000,0.5,1000
2385,0,0.009673690001363866,275.0,4000.0,True,4000,0.7,1000
2386,1,0.08870305999880657,287.0,8002.0,True,4000,0.7,1000
2387,2,0.16009987899815314,287.0,12003.0,True,4000,0.7,1000
2388,3,0.23191609299828997,288.0,16005.0,True,4000,0.7,1000
2389,4,0.30848240300110774,288.0,20006.0,True,4000,0.7,1000
2390,5,0.38475700300114113,288.0,24007.0,True,4000,0.7,1000
2391,6,0.46121626400054083,288.0,28008.0,True,4000,0.7,1000
2392,7,0.537956039999699,288.0,32009.0,True,4000,0.7,1000
2393,8,0.6142274990015721,289.0,36011.0,True,4000,0.7,1000
2394,9,0.6910086429998046,289.0,40012.0,True,4000,0.7,1000
2395,10,0.7677787430002354,289.0,44013.0,True,4000,0.7,1000
2396,11,0.8442142450003303,289.0,48014.0,True,4000,0.7,1000
2397,12,0.9207203519981704,289.0,52015.0,True,4000,0.7,1000
2398,13,0.9973414050000429,289.0,56016.0,True,4000,0.7,1000
2399,14,1.0740494929996203,289.0,60017.0,True,4000,0.7,1000
2400,15,1.1509870390000287,289.0,64018.0,True,4000,0.7,1000
2401,16,1.228294634998747,289.0,68019.0,True,4000,0.7,1000
2402,17,1.3046504339981766,289.0,72020.0,True,4000,0.7,1000
2403,18,1.381109475998528,289.0,76021.0,True,4000,0.7,1000
2404,19,1.4581833749980433,289.0,80022.0,True,4000,0.7,1000
2405,20,1.5345319049993122,289.0,84023.0,True,4000,0.7,1000
2406,21,1.610928256999614,289.0,88024.0,True,4000,0.7,1000
2407,22,1.6872070620011073,289.0,92025.0,True,4000,0.7,1000
2408,23,1.7635120339982677,289.0,96026.0,True,4000,0.7,1000
