index,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
235,1000,296.0,21485,124.55282625499967,"[22, 13, 7, 13, 15, 24, 9, 21, 12, 3, 0, 20, 14, 17, 10, 2, 8, 23, 19, 2, 18, 6, 11, 16, 1]",100,1000,66
237,1000,297.0,21889,128.70752683500177,"[18, 11, 24, 16, 7, 22, 22, 13, 17, 9, 12, 5, 2, 21, 1, 6, 20, 0, 4, 14, 19, 3, 23, 15, 8]",100,1000,67
239,1000,293.0,22125,131.1284385660001,"[22, 13, 6, 21, 11, 24, 3, 22, 2, 23, 2, 0, 23, 20, 9, 16, 15, 1, 18, 0, 8, 19, 12, 14, 17]",100,1000,68
241,1000,295.0,22441,134.41385383099987,"[4, 9, 11, 8, 17, 20, 23, 10, 5, 14, 21, 7, 22, 2, 6, 17, 14, 24, 19, 3, 15, 12, 21, 16, 0]",100,1000,69
243,1000,296.0,22801,138.14615284600222,"[6, 17, 23, 16, 3, 24, 15, 19, 5, 9, 18, 4, 2, 1, 8, 11, 0, 3, 22, 20, 7, 12, 14, 21, 13]",100,1000,70
245,1000,291.0,23032,140.59370323500116,"[12, 24, 1, 17, 14, 21, 2, 4, 8, 24, 9, 3, 15, 16, 0, 7, 22, 11, 20, 23, 13, 10, 19, 11, 6]",100,1000,71
247,1000,294.0,23399,147.5538179310024,"[15, 6, 3, 0, 17, 9, 12, 23, 3, 8, 13, 5, 20, 24, 21, 12, 10, 2, 4, 9, 22, 19, 11, 1, 20]",100,1000,72
249,1000,296.0,23737,151.32111373899897,"[6, 2, 14, 13, 20, 12, 5, 0, 23, 22, 4, 8, 15, 21, 9, 17, 1, 3, 18, 7, 10, 24, 11, 19, 16]",100,1000,73
251,1000,296.0,24214,156.71252011400065,"[6, 17, 24, 10, 18, 9, 5, 0, 8, 19, 7, 22, 23, 16, 9, 16, 3, 15, 12, 1, 20, 13, 2, 4, 14]",100,1000,74
253,1000,293.0,24523,160.23951991899958,"[18, 11, 24, 1, 3, 17, 10, 23, 6, 22, 16, 14, 5, 7, 19, 21, 13, 4, 19, 9, 15, 20, 2, 12, 0]",100,1000,75
255,1000,296.0,24755,162.84790397600227,"[11, 16, 6, 13, 20, 0, 3, 21, 15, 1, 9, 22, 1, 9, 23, 5, 19, 17, 24, 12, 18, 8, 10, 14, 2]",100,1000,76
257,1000,296.0,25092,166.78964977800206,"[13, 9, 1, 15, 20, 7, 17, 16, 8, 0, 11, 3, 22, 2, 21, 12, 4, 23, 23, 12, 10, 24, 0, 5, 18]",100,1000,77
259,1000,296.0,25472,171.23461736199897,"[0, 3, 5, 24, 19, 13, 19, 1, 6, 10, 16, 22, 8, 2, 18, 20, 8, 12, 4, 9, 7, 0, 15, 11, 23]",100,1000,78
261,1000,295.0,25701,173.95145821999904,"[20, 24, 10, 2, 17, 9, 3, 3, 0, 7, 21, 4, 12, 16, 18, 20, 6, 19, 1, 8, 14, 22, 6, 0, 15]",100,1000,79
263,1000,295.0,26164,184.6378970730002,"[23, 18, 0, 14, 9, 21, 24, 4, 12, 16, 24, 22, 1, 8, 2, 17, 15, 7, 21, 10, 20, 6, 0, 5, 11]",100,1000,80
